movie_id,rank,title,year,rating,runtime,votes
tt7286456,1.,Joker,(I) (2019),8.4,122 min,"1,418,663"
tt4154796,2.,Avengers: Endgame,(2019),8.4,181 min,"1,224,982"
tt4154756,3.,Avengers: Infinity War,(2018),8.4,149 min,"1,165,186"
tt6751668,4.,Gisaengchung,(2019),8.5,132 min,"901,090"
tt1825683,5.,Black Panther,(2018),7.3,134 min,"819,669"
tt7131622,6.,Once Upon a Time in... Hollywood,(2019),7.6,161 min,"807,837"
tt8946378,7.,Knives Out,(2019),7.9,130 min,"746,321"
tt8579674,8.,1917,(2019),8.2,119 min,"648,561"
tt4633694,9.,Spider-Man: Into the Spider-Verse,(2018),8.4,117 min,"638,963"
tt5463162,10.,Deadpool 2,(2018),7.6,119 min,"623,699"
tt4154664,11.,Captain Marvel,(2019),6.8,123 min,"595,324"
tt1727824,12.,Bohemian Rhapsody,(2018),7.9,134 min,"573,110"
tt6644200,13.,A Quiet Place,(2018),7.5,90 min,"567,170"
tt6723592,14.,Tenet,(2020),7.3,150 min,"566,989"
tt6966692,15.,Green Book,(2018),8.2,130 min,"541,298"
tt6320628,16.,Spider-Man: Far from Home,(2019),7.4,129 min,"536,439"
tt1270797,17.,Venom,(2018),6.6,112 min,"522,603"
tt1477834,18.,Aquaman,(2018),6.8,143 min,"504,760"
tt2527338,19.,Star Wars: Episode IX - The Rise of Skywalker,(2019),6.4,141 min,"480,104"
tt1677720,20.,Ready Player One,(2018),7.4,140 min,"468,156"
tt1950186,21.,Ford v Ferrari,(2019),8.1,152 min,"442,965"
tt5095030,22.,Ant-Man and the Wasp,(2018),7.0,118 min,"437,771"
tt2584384,23.,Jojo Rabbit,(2019),7.9,108 min,"425,451"
tt1302006,24.,The Irishman,(2019),7.8,209 min,"417,782"
tt6146586,25.,John Wick: Chapter 3 - Parabellum,(2019),7.4,130 min,"410,257"
tt1517451,26.,A Star Is Born,(2018),7.6,136 min,"407,883"
tt8772262,27.,Midsommar,(2019),7.1,148 min,"377,352"
tt0448115,28.,Shazam!,(2019),7.0,132 min,"375,250"
